zone_id,avg_rainfall_mm,flood_incidents_per_year,avg_aqi,curfew_days_per_year,hub_closure_days,avg_temp_peak,risk_cluster,risk_label,risk_map_score
ZONE_000,686.9021545015712,5,313.34109201358797,1,13,47.56123635947057,0,Low Risk,47.3
ZONE_001,1435.928598332891,14,297.44316143521064,7,3,43.87979432736012,1,High Risk,85.7
ZONE_002,1151.5921243548266,0,322.5001786677629,7,0,37.94511860629376,1,High Risk,53.2
ZONE_003,978.2560294561475,8,100.09479494196437,0,17,34.7955494312377,2,Medium Risk,40.5
ZONE_004,402.82423257516746,0,121.59060760931214,7,12,45.44271400044953,0,Low Risk,25.3
ZONE_005,402.79287643706346,4,299.92242877826493,4,1,38.896955181690316,0,Low Risk,35.9
ZONE_006,275.5086958186593,3,222.89352049580194,1,8,43.16850035738222,0,Low Risk,25.5
ZONE_007,1326.0289895074156,12,314.1223521510408,1,1,43.08215360632328,1,High Risk,73.9
ZONE_008,981.4495152661715,11,86.02061076045075,5,8,28.358913571369836,2,Medium Risk,46.6
ZONE_009,1120.4943511348592,12,237.76847301960817,8,0,30.52507565585227,1,High Risk,64.8
ZONE_010,226.75984258454318,12,182.5875479449205,0,10,41.19258732789484,0,Low Risk,34.9
ZONE_011,1460.8828078105926,13,209.9500767485874,5,2,31.23239622571743,1,High Risk,71.4
ZONE_012,1282.1754330405483,2,261.3852552253794,8,19,33.10986689311209,2,Medium Risk,55.1
ZONE_013,476.040843881759,12,225.80092161188554,7,3,46.93275908399214,0,Low Risk,53.9
ZONE_014,436.3724573692308,5,238.95122298949286,5,17,39.20364516749824,0,Low Risk,36.1
ZONE_015,438.425862809464,1,220.22511869846272,2,5,43.01459013998694,0,Low Risk,27.3
ZONE_016,595.514915847399,2,193.13431197992264,7,2,39.1596147756528,0,Low Risk,34.7
ZONE_017,882.1833611219092,4,320.1586932093858,8,10,39.05027229565451,1,High Risk,54.0
ZONE_018,761.5285242347505,14,54.271075311315585,0,14,29.88303820251396,2,Medium Risk,39.6
ZONE_019,578.5978822574546,8,259.45494542182945,8,4,34.87326385218206,0,Low Risk,46.9
ZONE_020,995.4087631390934,1,247.92792156304085,5,19,33.64861797373023,2,Medium Risk,42.2
ZONE_021,381.34201884765434,9,300.6626761565333,5,9,35.81456731227227,0,Low Risk,43.1
ZONE_022,579.7880430957837,7,259.66027767206424,3,11,43.96688376448657,0,Low Risk,44.9
ZONE_023,676.2703962817992,13,339.3795897331774,0,14,35.4386533583373,0,Low Risk,54.7
ZONE_024,792.8909794821467,1,385.6761780974097,9,16,37.033936384633655,1,High Risk,50.3
ZONE_025,1220.7287498109176,10,169.8834900124902,7,9,35.94762780970633,2,Medium Risk,62.0
ZONE_026,459.5759168058677,12,129.57284406049547,1,5,29.868159439505913,0,Low Risk,33.5
ZONE_027,868.5047699376951,4,198.258901847169,0,17,36.82144316501567,2,Medium Risk,37.5
ZONE_028,970.1389395206552,6,150.77536576650414,1,12,31.9121854608903,2,Medium Risk,39.4
ZONE_029,260.38553653599706,7,265.23259210342906,0,2,31.73446591546083,0,Low Risk,27.5
ZONE_030,989.8083074718699,0,369.14834309503766,0,9,29.880722088685328,1,High Risk,40.4
ZONE_031,421.68136079347903,5,98.69066795007166,8,13,35.13341948283529,2,Medium Risk,28.7
ZONE_032,284.56707088086335,0,85.27811105556027,0,5,43.14963769578834,0,Low Risk,11.9
ZONE_033,1433.5511984293332,1,139.6054361487818,3,2,33.52883381166792,1,High Risk,45.8
ZONE_034,1455.3216429969273,14,304.13345512184026,9,15,34.24698203771027,1,High Risk,83.8
ZONE_035,1250.9165525513995,0,257.5370168405875,5,6,40.85349315344847,1,High Risk,51.6
ZONE_036,595.997899925382,10,85.77443247881985,6,19,31.91681625173838,2,Medium Risk,37.3
ZONE_037,326.973748208299,4,371.5626827912613,1,13,45.93915860847069,0,Low Risk,38.4
ZONE_038,1089.502934465804,9,326.52962299343034,5,8,38.403810465031086,1,High Risk,65.0
ZONE_039,772.1982418614817,14,58.057911675673125,6,14,36.95205880640434,2,Medium Risk,49.7
ZONE_040,358.64970529821244,8,277.9785238458861,9,2,39.156403838584026,0,Low Risk,45.2
ZONE_041,843.7299831446512,5,319.9363339819083,9,1,31.32068626832391,1,High Risk,51.7
ZONE_042,244.70507744978391,10,181.0523794021477,1,1,40.26946277278353,0,Low Risk,32.5
ZONE_043,1382.1165227024167,10,74.12253877852658,1,2,35.26201473268021,1,High Risk,54.5
ZONE_044,536.4139760800219,0,77.06237292107554,9,17,45.94372681929238,2,Medium Risk,28.6
ZONE_045,1061.2789696601767,12,86.48643811813332,6,13,31.377084133553723,2,Medium Risk,53.0
ZONE_046,605.2243989162342,0,344.153871193148,0,19,38.14102207730882,0,Low Risk,32.8
ZONE_047,876.088427531154,1,368.74016938949956,7,17,39.96225258738036,1,High Risk,51.1
ZONE_048,910.7233631462635,8,92.98377364600682,2,9,28.667672035727623,2,Medium Risk,37.3
ZONE_049,440.3107921831852,2,132.56711210827842,5,1,35.273862495122806,0,Low Risk,23.2
ZONE_050,1460.460016093926,14,107.93217862855141,8,0,42.652704694016656,1,High Risk,75.9
ZONE_051,1207.672670369449,0,115.21230782294224,5,3,44.40755014897947,1,High Risk,44.1
ZONE_052,1421.348624033446,4,343.1217761508722,8,13,34.263239896345645,1,High Risk,67.4
ZONE_053,1363.2755555559436,6,166.25124442922862,6,0,43.97186544765503,1,High Risk,61.9
ZONE_054,977.2699724544107,5,159.0054924159744,8,13,47.355117542067774,2,Medium Risk,53.2
ZONE_055,1398.4365055300518,11,129.5884673069894,1,15,45.13747872150188,2,Medium Risk,64.7
ZONE_056,315.04025266749534,0,262.7630378279905,7,13,30.352879763186504,0,Low Risk,23.4
ZONE_057,454.77772114488874,4,182.7569944349421,7,19,42.794606641710814,2,Medium Risk,35.5
ZONE_058,258.7954755836995,14,310.48737814515107,1,2,34.393336648810894,0,Low Risk,44.0
ZONE_059,622.9294299922436,4,121.95293293147313,3,2,47.76831978824153,0,Low Risk,35.0
ZONE_060,705.2804765963266,5,325.7264610500723,6,8,37.70717966319774,0,Low Risk,48.5
ZONE_061,552.7537413060647,2,261.30253610554865,3,5,30.44867796717882,0,Low Risk,29.1
ZONE_062,1277.3587618975082,4,89.99355501949071,3,12,42.503710960547814,2,Medium Risk,48.2
ZONE_063,663.779324701666,6,195.0766044712697,5,1,34.460223967724275,0,Low Risk,39.0
ZONE_064,565.214862593595,4,352.23134921453493,9,7,47.94156314163324,0,Low Risk,52.7
ZONE_065,905.504908105723,4,373.0360811294697,5,1,47.595649157090435,1,High Risk,58.9
ZONE_066,383.20149246719143,4,212.99504281158463,9,3,41.122680360411614,0,Low Risk,36.5
ZONE_067,1242.8560749802516,9,218.29294233117574,2,14,30.596528979034353,2,Medium Risk,56.0
ZONE_068,296.91583678370205,9,371.4591537287554,8,3,41.737219953500585,0,Low Risk,50.8
ZONE_069,1482.9530175806724,2,255.47387844779854,9,12,29.860609729200544,1,High Risk,59.5
ZONE_070,1203.9182000856547,0,61.49633458520342,1,11,28.587283182047848,2,Medium Risk,29.0
ZONE_071,458.33038599442415,4,369.4623120076951,5,12,44.45916892442972,0,Low Risk,45.1
ZONE_072,207.17875226068313,13,136.87925496500316,6,13,32.19505895367362,2,Medium Risk,34.9
ZONE_073,1260.0998569912845,8,252.17118393204152,8,19,35.58054252438195,2,Medium Risk,65.2
ZONE_074,1118.9145470019023,13,107.92966109979083,2,17,47.46914779952346,2,Medium Risk,61.5
ZONE_075,1147.7093184532835,0,61.85770608630824,9,5,34.736810037222064,2,Medium Risk,38.6
ZONE_076,1202.6514506917295,2,159.0156098964651,2,10,33.9297956256663,2,Medium Risk,41.5
ZONE_077,296.2580472543175,12,323.17349764113067,6,1,46.364159992455505,0,Low Risk,53.4
ZONE_078,666.0054471075543,12,147.15551042029634,3,18,30.214968906379163,2,Medium Risk,42.2
ZONE_079,350.62977738266864,3,127.03402492838397,7,18,43.19164820229264,2,Medium Risk,28.1
ZONE_080,1322.0344536382715,13,124.4382745194292,6,4,47.76131133305548,1,High Risk,72.0
ZONE_081,1010.2875648758253,0,230.31078884238443,4,18,46.025920215492974,2,Medium Risk,45.1
ZONE_082,630.167432308444,0,391.4394604889647,6,1,41.03335837412852,0,Low Risk,43.6
ZONE_083,282.6258553718307,7,210.64614580595457,2,9,34.281215899854644,0,Low Risk,28.2
ZONE_084,604.2770182303609,1,245.05687911151676,1,1,33.086439623566335,0,Low Risk,27.2
ZONE_085,622.7383186347711,11,351.2212062617569,5,10,44.385102097429225,0,Low Risk,60.1
ZONE_086,1148.4880318394833,14,237.27440162678053,1,17,45.596438279033904,2,Medium Risk,69.4
ZONE_087,1028.824712761777,7,114.56200499659963,2,14,38.50869825091386,2,Medium Risk,44.9
ZONE_088,1353.3765653492244,6,154.85856911826698,5,8,32.88679881572932,1,High Risk,54.5
ZONE_089,813.8794027105341,9,158.47792419401384,4,18,30.25886416822347,2,Medium Risk,42.9
ZONE_090,355.4725197197922,9,189.06134041015926,7,8,29.743589356636623,0,Low Risk,35.0
ZONE_091,1127.2182233898934,1,199.3761168678623,8,2,42.381548947077114,1,High Risk,50.4
ZONE_092,1189.0205632019665,5,329.9237077259943,2,8,36.4023745569545,1,High Risk,57.2
ZONE_093,929.6603568403451,5,172.28544966726656,9,13,46.10719748555741,2,Medium Risk,53.0
ZONE_094,1202.2573339409291,2,213.88113995448276,2,18,42.79342601453527,2,Medium Risk,49.1
ZONE_095,841.934275273708,10,268.7415954678683,2,6,31.825208358291732,1,High Risk,50.4
ZONE_096,879.5526781965923,1,182.20408160405924,5,15,40.27554837631398,2,Medium Risk,38.7
ZONE_097,755.8033238661145,11,342.7976846523165,0,15,36.71010908796319,0,Low Risk,54.4
ZONE_098,233.04486476732376,0,255.60876148192602,6,0,39.54499461537226,0,Low Risk,24.4
ZONE_099,340.2588550912958,5,152.91563772734003,0,3,42.76138246677034,0,Low Risk,25.4
ZONE_100,240.85794139275453,11,299.9207199264399,4,3,44.123917620075815,0,Low Risk,45.8
ZONE_101,1027.3335346429144,4,234.67670555067505,9,6,44.87474652813449,1,High Risk,56.9
ZONE_102,608.6627753992248,13,237.05956194003642,7,7,33.07949749144049,0,Low Risk,52.9
ZONE_103,861.1418985141136,13,218.38078193565508,3,16,28.622311998347154,2,Medium Risk,52.4
ZONE_104,1379.836416103921,10,223.95418208743715,4,4,42.78589470329546,1,High Risk,69.8
ZONE_105,524.0798978935375,8,317.87469837318423,3,6,30.126874525115493,0,Low Risk,41.4
ZONE_106,733.4977999463187,0,86.04351776596043,3,19,34.29839177225935,2,Medium Risk,22.6
ZONE_107,1182.2164801059632,14,167.02698395866878,7,19,28.076342682486942,2,Medium Risk,63.5
ZONE_108,497.4376151391092,14,76.42617733136123,1,3,41.633389648032406,0,Low Risk,40.7
ZONE_109,300.07388277743087,6,313.63617726160777,0,5,31.342640229424426,0,Low Risk,29.4
ZONE_110,576.6768887878984,14,145.30564915210482,2,6,41.10564819383316,0,Low Risk,47.5
ZONE_111,409.58767343020577,4,364.10064343660946,8,17,47.83485234335677,0,Low Risk,48.2
ZONE_112,1408.606948045345,4,234.3024633307528,3,4,29.453417432200325,1,High Risk,53.5
ZONE_113,1250.556493433742,13,330.2624200201424,9,19,29.541560239029213,2,Medium Risk,75.7
ZONE_114,1023.4248834635505,1,392.6260024655864,4,2,34.807601853333495,1,High Risk,50.8
ZONE_115,1332.898767244033,10,343.9261008097997,1,6,45.327730285026846,1,High Risk,73.6
ZONE_116,1244.7736999688489,2,353.4478160040332,3,13,32.31059737582664,1,High Risk,54.0
ZONE_117,442.5410765518466,6,192.79457337769566,1,6,35.207556398606954,0,Low Risk,29.3
ZONE_118,1360.326698036971,5,243.10290834076892,1,4,29.370108132539592,1,High Risk,52.3
ZONE_119,901.144914490346,11,138.8609974151565,3,4,43.26310582517779,0,Low Risk,52.9
ZONE_120,1249.6722017132813,1,118.63958489270848,5,1,36.16612685518902,1,High Risk,42.9
ZONE_121,1364.9186899005413,5,226.92775768711184,6,5,43.184974661216856,1,High Risk,63.4
ZONE_122,613.404517463423,1,258.26714289514723,9,14,46.0721568869359,0,Low Risk,42.7
ZONE_123,343.0675018859798,1,168.74493606366684,2,9,32.65526294202577,0,Low Risk,16.6
ZONE_124,496.3157113045242,1,249.30523121722513,2,6,44.147920606799026,0,Low Risk,31.1
ZONE_125,755.2401252141332,13,360.61116887972605,9,4,29.181877801565065,1,High Risk,64.0
ZONE_126,1263.419195699241,14,244.85255467417812,5,0,45.97694776360495,1,High Risk,77.1
ZONE_127,1318.9497582332465,10,302.2845837086773,2,12,41.015370951174944,1,High Risk,69.7
ZONE_128,209.03776969054792,2,331.8602385752668,1,17,45.48453448276703,0,Low Risk,29.4
ZONE_129,863.9714933508354,14,396.055073684405,7,12,28.00376799113164,1,High Risk,68.0
ZONE_130,742.6343040934127,1,261.11909076194286,4,17,31.38162140711985,2,Medium Risk,34.0
ZONE_131,488.7401536119493,3,332.3975521369051,0,4,35.79518774852984,0,Low Risk,32.8
ZONE_132,355.82497753378766,8,386.92726149420616,2,12,35.59005806749437,0,Low Risk,42.6
ZONE_133,638.8997228247163,5,380.5434039520457,9,3,32.534607658470215,0,Low Risk,50.3
ZONE_134,1425.782615086275,0,99.37864707219975,7,16,35.632238797344,2,Medium Risk,46.6
ZONE_135,620.1638116269818,7,192.2373078957327,3,2,30.576974240005097,0,Low Risk,35.4
ZONE_136,874.4278082663759,14,163.39652138737986,6,16,36.255222585320524,2,Medium Risk,58.1
ZONE_137,1113.9246465637311,11,80.42375523262226,9,10,44.04708658318528,2,Medium Risk,61.7
ZONE_138,672.7184830930821,13,271.63427121883615,1,19,37.581401262067025,2,Medium Risk,52.8
ZONE_139,1463.316707537249,6,307.5666146186008,6,3,28.360001778904298,1,High Risk,64.9
ZONE_140,1451.1814834247446,9,346.8448334134092,4,1,36.42888083158495,1,High Risk,73.9
ZONE_141,527.3169845729734,2,92.97191138194798,4,19,28.543500321816882,2,Medium Risk,18.9
ZONE_142,846.4230576601011,0,356.75542655635286,5,15,47.32486821413596,1,High Risk,49.6
ZONE_143,591.1418027618006,4,275.02394726498864,8,17,30.54907918845738,2,Medium Risk,39.3
ZONE_144,570.2926426907079,12,296.3811472984783,5,7,42.15376652661237,0,Low Risk,56.1
ZONE_145,247.95303156089264,3,368.71840123910636,7,2,47.455526457841714,0,Low Risk,41.2
ZONE_146,992.4336341738659,9,268.6664448651379,6,8,44.52078103333144,1,High Risk,63.1
ZONE_147,853.4827301975199,7,167.55305000244226,8,19,41.98630750252407,2,Medium Risk,51.0
ZONE_148,266.92237662498616,0,338.7875659979309,3,5,44.78921819001533,0,Low Risk,29.7
ZONE_149,562.2404035075949,9,177.07072426828168,1,9,47.63597386521255,0,Low Risk,42.8
ZONE_150,1380.7456517566497,0,61.979838787185194,6,9,40.42688994507059,2,Medium Risk,44.7
ZONE_151,511.43045786706415,11,340.7290772978374,5,12,39.18369613658653,0,Low Risk,53.9
ZONE_152,388.36333371859,3,170.81725070844647,0,16,40.56476220926562,0,Low Risk,23.3
ZONE_153,836.2885883608319,7,320.8420831204691,8,8,38.6535177352311,1,High Risk,57.6
ZONE_154,1481.345590343781,4,176.9652631330809,8,16,40.70178211819437,2,Medium Risk,62.8
ZONE_155,514.6718529649505,1,351.37380699115255,1,8,36.996844159451186,0,Low Risk,32.9
ZONE_156,1073.7762116276422,5,126.82868377833555,2,8,32.36886365766614,2,Medium Risk,40.4
ZONE_157,1190.1054999273329,4,391.09154281960446,4,0,30.404944530233514,1,High Risk,58.0
ZONE_158,508.9288071901196,1,322.9155711758108,4,1,29.36681871064521,0,Low Risk,30.3
ZONE_159,1146.6812531954174,12,89.9832740721389,0,15,33.266315675064,2,Medium Risk,50.4
ZONE_160,678.1180725350291,13,248.02181698829617,7,0,28.922471286714675,0,Low Risk,53.3
ZONE_161,1021.9975797716534,10,394.87855928460715,7,9,39.34341559838771,1,High Risk,71.2
ZONE_162,1023.5886239891631,10,214.87290844283504,3,17,33.6765689404704,2,Medium Risk,54.1
ZONE_163,896.507089297186,10,113.73749858755414,6,7,44.490696161740644,2,Medium Risk,53.3
ZONE_164,317.3767010707308,2,219.67242850262116,9,10,29.48481745976773,0,Low Risk,25.9
ZONE_165,1285.8932442660093,14,229.36017955867257,2,1,32.527029886829716,1,High Risk,67.1
ZONE_166,617.0140844632566,8,309.5904304800329,5,7,42.60492294180292,0,Low Risk,51.7
ZONE_167,442.4740635198105,6,294.5960486063166,9,7,39.976165927669825,0,Low Risk,45.5
ZONE_168,253.00768402119309,6,190.89251525894318,9,16,29.289825424983352,2,Medium Risk,29.1
ZONE_169,968.1608261447144,14,126.30808762293027,8,14,45.54478914324401,2,Medium Risk,65.1
ZONE_170,1080.8336703949672,10,275.7689587192653,0,16,45.54523525652359,2,Medium Risk,62.1
ZONE_171,221.564177606213,5,197.59637709364864,4,12,34.60816007751548,0,Low Risk,24.7
ZONE_172,865.7209757890653,7,96.29667389386563,3,18,34.80811686699129,2,Medium Risk,38.6
ZONE_173,494.44450775731934,3,365.200305432735,7,4,47.78056716700348,0,Low Risk,47.8
ZONE_174,1038.7246275322848,7,291.92765016337904,0,11,40.52352343186276,1,High Risk,54.3
ZONE_175,426.6763577064889,3,289.1143497559185,8,0,38.62633041136118,0,Low Risk,38.1
ZONE_176,1098.2190595332058,7,337.90435656908585,5,4,44.76304367103849,1,High Risk,65.7
ZONE_177,702.7559501906986,8,235.38158752927836,3,7,33.70580676714633,0,Low Risk,43.3
ZONE_178,1417.748985357755,2,335.26904994086,8,12,36.58365186792714,1,High Risk,64.7
ZONE_179,378.7772273897912,2,224.331763728852,4,7,33.35553350976669,0,Low Risk,24.8
ZONE_180,643.3862563653361,10,73.51138997049853,4,10,43.78321693177463,2,Medium Risk,41.8
ZONE_181,347.5155776127658,12,191.83683080969107,4,0,39.46698691270436,0,Low Risk,41.8
ZONE_182,1402.1017037621316,1,224.1127128929617,0,12,41.17650140280141,1,High Risk,50.6
ZONE_183,1340.5411593952754,12,302.0709035713035,0,18,33.04614499678813,2,Medium Risk,67.6
ZONE_184,535.3241160297023,9,87.30255554503603,7,2,32.404506027546304,0,Low Risk,35.4
ZONE_185,1057.9792598444328,2,99.00648853115715,7,16,37.76749257965878,2,Medium Risk,41.1
ZONE_186,1262.3888602615805,2,142.28933092211577,5,4,42.75131498185654,1,High Risk,49.6
ZONE_187,921.7610550793011,4,143.27443767980878,3,19,38.504795150403204,2,Medium Risk,39.7
ZONE_188,888.5457518628084,4,306.2646024606718,1,7,28.65291355091337,1,High Risk,41.2
ZONE_189,514.4079781705872,1,137.75573119655922,1,13,45.37103012640577,0,Low Risk,24.8
ZONE_190,321.03359814766895,11,271.58432217510665,8,3,29.293737870302632,0,Low Risk,42.9
ZONE_191,1366.3804853393249,9,222.995847548395,4,10,47.11648967441505,1,High Risk,69.8
ZONE_192,1370.5434743123296,12,250.65303236279024,3,19,28.502839165545453,2,Medium Risk,66.2
ZONE_193,1023.0318944552483,5,343.3374371124035,9,14,41.889009122614176,1,High Risk,63.2
ZONE_194,640.7387283633109,4,191.53352554215851,0,18,29.644141274235633,2,Medium Risk,27.4
ZONE_195,653.9724469964592,5,319.81898197249467,6,6,46.21353158870279,0,Low Risk,51.1
